"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","Creating a new product.","SUCCESS","2023-06-08T20:37:26.103+01:00[Europe/London]","0.0","17.72"
"Product CRUD test","Getting single product.","SUCCESS","2023-06-08T20:37:43.880+01:00[Europe/London]","0.0","0.15"
"Product CRUD test","Updating the product.","SUCCESS","2023-06-08T20:37:44.039+01:00[Europe/London]","0.0","0.23"
"Product CRUD test","Deleting the product and verifying the deletion.","SUCCESS","2023-06-08T20:37:44.271+01:00[Europe/London]","0.0","0.2"
"Store CRUD test","Creating store and verifying the creation.","SUCCESS","2023-06-08T20:37:48.332+01:00[Europe/London]","0.0","0.25"
"Store CRUD test","Getting store information by id.","SUCCESS","2023-06-08T20:37:48.596+01:00[Europe/London]","0.0","0.12"
"Store CRUD test","Updating store information by id.","SUCCESS","2023-06-08T20:37:48.716+01:00[Europe/London]","0.0","0.24"
"Store CRUD test","Deleting the store and verifying the deletion.","SUCCESS","2023-06-08T20:37:48.961+01:00[Europe/London]","0.0","0.3"
"Product extraction test","Extract the limit","SUCCESS","2023-06-08T20:37:51.927+01:00[Europe/London]","0.0","0.05"
"Product extraction test","Extract the total","SUCCESS","2023-06-08T20:37:51.980+01:00[Europe/London]","0.0","0.07"
"Product extraction test","Extract the name of 5th product","SUCCESS","2023-06-08T20:37:52.092+01:00[Europe/London]","0.0","0.23"
"Product extraction test","Extract the names of all the products","SUCCESS","2023-06-08T20:37:52.323+01:00[Europe/London]","0.0","0.17"
"Product extraction test","Extract the productId of all the products","SUCCESS","2023-06-08T20:37:52.503+01:00[Europe/London]","0.0","0.12"
"Product extraction test","Print the size of the data list","SUCCESS","2023-06-08T20:37:52.627+01:00[Europe/London]","0.0","0.07"
"Product extraction test","Get all the value of the product where product name = Energizer - MAX Batteries AA (4-Pack)","SUCCESS","2023-06-08T20:37:52.700+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Get the model of the product where product name = Energizer - N Cell E90 Batteries (2-Pack)","SUCCESS","2023-06-08T20:37:52.791+01:00[Europe/London]","0.0","0.16"
"Product extraction test","Get all the categories of 8th products","SUCCESS","2023-06-08T20:37:52.958+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Get categories of the store where product id = 150115","SUCCESS","2023-06-08T20:37:53.061+01:00[Europe/London]","0.0","0.05"
"Product extraction test","Get all the descriptions of all the products","SUCCESS","2023-06-08T20:37:53.109+01:00[Europe/London]","0.0","0.04"
"Product extraction test","Get id of all the all categories of all the products","SUCCESS","2023-06-08T20:37:53.160+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the product names Where type = HardGood","SUCCESS","2023-06-08T20:37:53.265+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the Total number of categories for the product where product name = Duracell - AA 1.5V CopperTop Batteries (4-Pack)","SUCCESS","2023-06-08T20:37:53.367+01:00[Europe/London]","0.0","0.09"
"Product extraction test","Find the createdAt for all products whose price < 5.49","SUCCESS","2023-06-08T20:37:53.462+01:00[Europe/London]","0.0","0.15"
"Product extraction test","Find the name of all categories Where product name = “Energizer - MAX Batteries AA (4-Pack)”","SUCCESS","2023-06-08T20:37:53.611+01:00[Europe/London]","0.0","0.17"
"Product extraction test","Find the manufacturer of all the products","SUCCESS","2023-06-08T20:37:53.779+01:00[Europe/London]","0.0","0.12"
"Product extraction test","Find the image of products whose manufacturer is = Energizer","SUCCESS","2023-06-08T20:37:53.903+01:00[Europe/London]","0.0","0.06"
"Product extraction test","Find the createdAt for all categories products whose price > 5.99","SUCCESS","2023-06-08T20:37:53.963+01:00[Europe/London]","0.0","0.1"
"Product extraction test","Find the uri of all the products","SUCCESS","2023-06-08T20:37:54.086+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-08T20:37:55.264+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2023-06-08T20:37:55.313+01:00[Europe/London]","0.0","0.12"
"Store assertion test","Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2023-06-08T20:37:55.436+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the storied=7 inside storeservices of the third store of second services","SUCCESS","2023-06-08T20:37:55.474+01:00[Europe/London]","0.0","0.03"
"Store assertion test","Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2023-06-08T20:37:55.504+01:00[Europe/London]","0.0","0.08"
"Store assertion test","Verify the state = MN of forth store","SUCCESS","2023-06-08T20:37:55.595+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the store name = Rochester of 9th store","SUCCESS","2023-06-08T20:37:55.640+01:00[Europe/London]","0.0","0.03"
"Store assertion test","Verify the storeId = 11 for the 6th store","SUCCESS","2023-06-08T20:37:55.680+01:00[Europe/London]","0.0","0.04"
"Store assertion test","Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2023-06-08T20:37:55.723+01:00[Europe/London]","0.0","0.03"
"Store extraction test","Extract the limit","SUCCESS","2023-06-08T20:37:56.258+01:00[Europe/London]","0.0","0.03"
"Store extraction test","Extract the total","SUCCESS","2023-06-08T20:37:56.286+01:00[Europe/London]","0.0","0.04"
"Store extraction test","Extract the name of 5th store","SUCCESS","2023-06-08T20:37:56.323+01:00[Europe/London]","0.0","0.08"
"Store extraction test","Extract the names of all the store","SUCCESS","2023-06-08T20:37:56.402+01:00[Europe/London]","0.0","0.08"
"Store extraction test","Extract the storeId of all the store","SUCCESS","2023-06-08T20:37:56.484+01:00[Europe/London]","0.0","0.07"
"Store extraction test","Print the size of the data list","SUCCESS","2023-06-08T20:37:56.553+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Get all the value of the store where store name = St Cloud","SUCCESS","2023-06-08T20:37:56.615+01:00[Europe/London]","0.0","0.15"
"Store extraction test","Get the address of the store where store name = Rochester","SUCCESS","2023-06-08T20:37:56.784+01:00[Europe/London]","0.0","0.23"
"Store extraction test","Get all the services of 8th store","SUCCESS","2023-06-08T20:37:57.033+01:00[Europe/London]","0.0","0.07"
"Store extraction test","Get storeServices of the store where service name = Windows Store","SUCCESS","2023-06-08T20:37:57.111+01:00[Europe/London]","0.0","0.09"
"Store extraction test","Get all the storeId of all the store","SUCCESS","2023-06-08T20:37:57.204+01:00[Europe/London]","0.0","0.13"
"Store extraction test","Get id of all the store","SUCCESS","2023-06-08T20:37:57.334+01:00[Europe/London]","0.0","0.24"
"Store extraction test","Find the store names Where state = ND","SUCCESS","2023-06-08T20:37:57.580+01:00[Europe/London]","0.0","0.12"
"Store extraction test","Find the Total number of services for the store where store name = Rochester","SUCCESS","2023-06-08T20:37:57.704+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the createdAt for all services whose name = “Windows Store”","SUCCESS","2023-06-08T20:37:57.764+01:00[Europe/London]","0.0","0.17"
"Store extraction test","Find the name of all services Where store name = “Fargo”","SUCCESS","2023-06-08T20:37:57.943+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the zip of all the store","SUCCESS","2023-06-08T20:37:58.004+01:00[Europe/London]","0.0","0.06"
"Store extraction test","Find the zip of store name = Roseville","SUCCESS","2023-06-08T20:37:58.076+01:00[Europe/London]","0.0","0.05"
"Store extraction test","Find the storeServices details of the service name = Magnolia Home Theater","SUCCESS","2023-06-08T20:37:58.132+01:00[Europe/London]","0.0","0.11"
"Store extraction test","Find the lat of all the stores","SUCCESS","2023-06-08T20:37:58.244+01:00[Europe/London]","0.0","0.05"
